Iteration;RAPL-Value;Old-RAPL;New-RAPL;Ticks
0;38800133;31474861745;31513661878;1738258394
1;32367166;31513687818;31546054984;1717307088
2;27558706;31546054984;31573613690;1649472436
3;27525869;31573613690;31601139559;1648119329
4;27515799;31601139559;31628655358;1644495035
5;27676199;31628655358;31656331557;1648558547
6;27670766;31656331557;31684002323;1648726635
7;27673330;31684002323;31711675653;1647683766
8;27676382;31711675653;31739352035;1648045034
9;27662283;31739352035;31767014318;1646801990
10;27809316;31767014318;31794823634;1650640957
11;27692373;31794841334;31822533707;1652432008
12;27622793;31822533707;31850156500;1648091293
13;27773977;31850156500;31877930477;1648884195
14;27871999;31877930477;31905802476;1665008013
15;27838429;31905802476;31933640905;1650521331
16;27696585;31933640905;31961337490;1648322080
17;27794667;31961337490;31989132157;1648883139
18;27794241;31989132157;32016926398;1647605668
19;27871144;32016926398;32044797542;1648684980
20;27706900;32044797542;32072504442;1649438081
21;27839223;32072504442;32100343665;1647779117
22;27786306;32100343665;32128129971;1644116309
23;27885182;32128129971;32156015153;1649452411
24;27777517;32156015153;32183792670;1648060867

